"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","EMP","TOT","PC_WKGPOP","Q","2022-Q2",77.12208,
"DNK","EMP","TOT","PC_WKGPOP","Q","2022-Q3",76.77078,
"DNK","EMP","TOT","PC_WKGPOP","Q","2022-Q4",76.75014,
"DNK","EMP","TOT","PC_WKGPOP","Q","2023-Q1",76.90761,
"DNK","EMP","TOT","PC_WKGPOP","Q","2023-Q2",76.68279,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q1",71.82835,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",71.78516,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",72.09498,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q4",72.28467,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q1",72.19036,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q2",70.05637,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q3",71.01553,
"FIN","EMP","TOT","PC_WKGPOP","Q","2020-Q4",71.35133,
"FIN","EMP","TOT","PC_WKGPOP","Q","2021-Q1",71.66826,
"FIN","EMP","TOT","PC_WKGPOP","Q","2021-Q2",72.76253,
"FIN","EMP","TOT","PC_WKGPOP","Q","2021-Q3",72.73712,
"FIN","EMP","TOT","PC_WKGPOP","Q","2021-Q4",73.46835,
"FIN","EMP","TOT","PC_WKGPOP","Q","2022-Q1",73.94401,
"FIN","EMP","TOT","PC_WKGPOP","Q","2022-Q2",74.61237,
"FIN","EMP","TOT","PC_WKGPOP","Q","2022-Q3",74.01443,
"FIN","EMP","TOT","PC_WKGPOP","Q","2022-Q4",74.62348,
"FIN","EMP","TOT","PC_WKGPOP","Q","2023-Q1",74.32733,
"FIN","EMP","TOT","PC_WKGPOP","Q","2023-Q2",74.78567,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q1",66.22363,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q2",66.54085,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q3",66.26422,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q4",66.52866,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q1",66.69885,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q2",65.6431,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q3",65.88612,
"FRA","EMP","TOT","PC_WKGPOP","Q","2020-Q4",66.23228,
"FRA","EMP","TOT","PC_WKGPOP","Q","2021-Q1",66.52792,
"FRA","EMP","TOT","PC_WKGPOP","Q","2021-Q2",67.14214,
"FRA","EMP","TOT","PC_WKGPOP","Q","2021-Q3",67.57577,
"FRA","EMP","TOT","PC_WKGPOP","Q","2021-Q4",67.73543,
"FRA","EMP","TOT","PC_WKGPOP","Q","2022-Q1",67.90029,
"FRA","EMP","TOT","PC_WKGPOP","Q","2022-Q2",68.05396,
"FRA","EMP","TOT","PC_WKGPOP","Q","2022-Q3",68.34138,
"FRA","EMP","TOT","PC_WKGPOP","Q","2022-Q4",68.27489,
"FRA","EMP","TOT","PC_WKGPOP","Q","2023-Q1",68.46473,
